gene,length,low-mg1,low-mg2,ns1,ns2
nagK,912,37.5204,32.627,70.9912,78.4353
cobB,840,22.9458,19.9635,28.131,29.8801
ycfZ,789,3.03289,2.29409,3.2143,3.50068
ymfA,462,3.42663,3.29836,4.61562,3.96291
potD,1047,121.279,77.2137,260.004,273.453
potC,795,17.0026,15.5446,88.3745,63.8401
potB,828,23.2388,22.5496,135.049,101.01
potA,1137,55.6802,56.3457,182.707,161.49
pepT,1227,31.7981,27.5539,40.5377,138.48
roxA,1122,217.493,226.894,115.656,119.39
phoQ,1461,444.314,403.985,41.444,44.3074
phoP,672,1343.84,1035.09,134.038,138.688
purB,1371,99.6832,96.6028,620.586,322.124
hflD,642,69.2127,64.5262,183.694,163.975
mnmA,1107,93.5547,87.2304,188.471,183.046
nudJ,462,18.0073,20.7041,31.4948,36.2405
rluE,654,28.819,28.9191,41.1093,45.9569
icd,1251,1025.58,693.022,2501.85,1711.34
ymfD,666,1.5291,1.59994,5.35247,4.50504
ymfE,705,1.69687,1.40731,4.84313,6.74209
lit,894,3.79855,2.46694,9.10152,9.71562
intE,1128,4.87536,4.42462,2.82815,3.01482
xisE,246,3.14605,2.42096,1.52681,2.58381
ymfH,312,10.4479,6.34863,4.65882,5.94702
ymfI,342,36.0596,24.8631,52.9219,77.5268
ymfJ,309,15.458,12.9388,12.3275,12.5238
ymfK,675,22.727,21.6926,31.8732,40.9496
ymfT,201,6.33137,5.14633,5.60084,5.0024
ymfL,558,4.14139,4.32827,3.77798,4.70944
ymfM,339,2.33313,1.43406,1.62681,2.58096
ymfN,1368,1.71469,1.52543,1.74467,1.74818
ymfR,183,0.351936,0.649974,0.409917,0.57808
beeE,474,1.19288,1.78182,1.48203,1.90341
ymfQ,585,1.32607,1.42861,0.557748,0.81681
ycfK,630,1.69331,1.80785,0.517972,0.632132
tfaP,414,1.71643,1.44091,0.121164,0.961146
tfaE,603,8.09454,7.44805,2.49751,4.09442
pinE,555,0.873511,1.0424,0.31653,0.430441
mcrA,834,4.38171,4.09852,4.18524,4.49033
iraM,324,406.869,317.203,4.33208,3.76375
ymgK,45,396.28,434.383,3.27933,4.62464
ymgL,111,26.0182,36.47,0.448956,0.237426
ycgX,405,16.1093,19.8948,2.04353,2.42338
bluR,732,54.4421,50.5038,49.1512,43.8962
bluF,1212,19.6858,16.435,24.2088,11.8599
ycgZ,237,5.57775,6.80309,0.845094,1.1173
ymgA,273,2.95421,2.82032,0.36703,1.26165
ariR,267,3.26198,2.71183,0.562871,1.2899
ymgC,249,2.91403,3.01748,1.20679,0.957301
pdeG,1524,1.77284,1.74341,0.544047,0.261558
ymgF,219,1.32456,1.71448,1.1428,1.57133
ymgD,330,16.0913,13.2575,19.8246,25.467
ymgG,345,3.69635,3.35015,5.30443,7.68546
ymgI,174,0.647563,0.315416,0.430998,1.82343
ymgJ,186,4.58835,3.19773,1.47891,2.41743
minE,267,41.1372,32.5763,48.9697,74.3178
minD,813,128.677,92.4371,258.303,331.971
minC,696,137.224,115.266,210.511,250.084
ycgJ,369,31.5906,23.372,24.6659,29.4665
pliG,402,26.4328,22.2115,21.4608,37.6111
ycgL,327,87.8553,67.679,103.786,120.635
ycgM,660,45.3588,32.5119,21.7564,34.1146
ycgN,462,34.7558,31.6722,21.9921,21.8247
hlyE,912,0.868855,0.886711,0.468134,1.95142
umuD,420,4.80673,5.48482,3.34424,4.48458
umuC,1269,4.9842,5.36766,3.04866,3.53858
dsbB,531,87.0619,79.684,88.1845,92.6211
nhaB,1542,40.9081,39.5054,87.14,96.1299
fadR,720,39.8777,41.3409,55.3393,62.6251
ycgB,1533,22.0568,12.4321,6.44109,9.72486
dadA,1299,65.902,46.6704,121.182,97.6733
dadX,1071,44.4293,35.7687,85.3687,72.259
ymgM,204,27.2174,28.4067,115.529,118.949
cvrA,1737,14.6274,16.3243,55.7946,68.0551
ldcA,915,22.6753,20.9201,32.3327,44.0098
emtA,612,37.1583,37.5339,62.2182,72.7042
ycgR,735,47.3354,34.6986,453.334,442.015
ymgE,255,10.1182,8.12155,1.66956,3.11621
ycgY,441,4.06558,3.351,0.85322,1.08292
treA,1698,10.7673,7.8297,5.57879,8.88998
dhaM,1419,40.0281,27.6896,78.771,178.576
dhaL,633,28.982,19.4295,72.2126,175.656
dhaK,1071,26.7905,20.1671,92.944,173.64
dhaR,1920,6.64081,6.54654,6.02036,8.90081
ycgV,2868,6.59074,7.02558,3.15474,4.36552
ychF,1092,61.2015,58.5729,169.481,143.882
pth,585,52.8217,44.7108,91.1703,75.8272
ychH,279,18.444,14.128,25.1416,36.1837
dauA,1680,10.4877,11.9196,17.8429,17.6856
prs,948,474.891,407.944,1600.98,1040.77
ispE,852,112.944,111.097,211.036,169.089
lolB,624,32.7408,31.161,103.181,118.45
hemA,1257,70.8819,68.2001,73.4061,92.3311
prfA,1083,35.1858,35.4661,84.3077,101.976
prmC,834,12.3502,16.4271,25.0211,34.7762
ychQ,393,14.9564,14.4299,27.5026,37.2554
ychA,810,57.8096,60.2457,62.7764,73.2829
kdsA,855,199.337,153.18,252.179,239.418
ldrA,108,47.8919,49.7661,65.2788,63.0473
rdlA,67,2.87511,2.84106,2.649,1.56422
ldrB,108,9.22242,12.1294,2.7618,5.40019
rdlB,66,0.483256,0.411924,0.384212,0
ldrC,108,47.8919,49.7661,65.2788,63.0473
rdlC,68,34.7064,40.1317,13.0486,25.4355
chaA,1101,74.1289,58.7875,52.0854,51.3495
chaB,231,22.0506,15.5046,4.55149,7.33564
chaC,696,33.7253,32.984,14.9695,17.5116
ychN,354,10.8535,11.3764,8.28609,12.2846
ychO,1395,9.95002,9.32484,7.63612,11.0481
narL,651,34.2156,26.8511,48.8949,70.9656
narX,1797,19.0523,18.8086,15.7449,20.8238
narK,1392,5.63654,3.92949,6.64185,18.9941
narG,3744,12.2985,10.2338,12.9434,34.2248
narH,1539,9.90267,9.37884,6.64455,23.8117
narJ,711,6.2528,6.49918,3.74298,11.9513
narI,678,7.39118,6.58471,3.70273,13.4721
ychS,276,136.208,181.645,36.1384,36.4661
rttR,171,18.3378,52.9336,1.4779,4.46867
tpr,90,0,0,0,0
tyrV,85,132.799,175.889,53.1061,68.0571
tyrT,85,132.799,175.889,53.1061,68.0571
purU,843,55.9137,48.6578,181.77,135.889
ychJ,459,85.6613,72.4571,144.783,139.895
rssA,906,53.2258,43.29,51.5028,60.7475
rssB,1014,30.9427,27.6442,25.7608,32.0148
galU,909,72.495,59.5348,163.835,170.947
hns,414,2464.84,1765.15,3023.29,3037.73
tdk,618,42.2904,39.3994,30.9091,24.5297
adhE,2676,172.165,106.172,553.114,1434.39
ychT,54,8.24171,9.19963,8.22814,16.4385
ychE,648,31.555,27.2162,12.5127,17.0859
insH21,981,177.589,179.409,106.721,133.379
oppA,1632,830.818,584.996,1117.87,961.714
oppB,921,201.556,149.469,278.929,227.27
oppC,909,203.929,142.887,304.13,253.001
oppD,1014,168.909,125.505,264.519,219.388
oppF,1005,150.723,125.192,214.703,184.133
yciU,330,39.2744,39.6335,51.2705,54.7098
clsA,1461,40.6609,36.7922,39.7243,62.9688
yciY,174,49.5848,48.4163,12.2116,12.3082
kch,1254,18.7819,15.2545,16.4071,25.7865
yciI,297,52.37,40.6883,48.0052,83.2552
tonB,720,83.9317,80.6914,137.668,216.569
yciA,399,41.9297,43.1233,50.6602,47.3997
yciB,540,29.9543,28.3811,34.5754,35.8324
yciC,744,53.5,40.466,75.2897,77.9904
ompW,639,30.8098,24.0772,119.58,601.803
yciE,507,3.34617,2.26369,4.5037,11.2544
yciF,501,1.74145,2.19912,2.10348,3.3372
yciG,180,7.06595,5.03184,1.94465,3.37905
trpA,807,59.9076,33.3487,1126.58,885.523
trpB,1194,40.2898,25.3817,676.045,524.669
trpC,1362,22.5436,16.1584,304.834,175.431
trpD,1596,15.9965,12.1721,346.645,138.37
trpE,1563,12.1522,7.38794,343.43,98.2566
trpL,45,28.1549,17.1993,427.406,163.597
yciV,882,23.1011,21.9833,29.925,35.5359
yciO,621,28.1357,24.2711,35.3275,46.5141
yciQ,1896,6.28959,6.23654,4.06877,5.27068
rluB,876,71.8817,65.331,143.195,120.193
btuR,591,16.654,14.7474,20.0878,26.8163
yciK,759,39.0668,23.5438,66.0627,77.8157
sohB,1050,66.1426,50.226,62.818,85.8221
yciN,252,189.15,146.612,122.528,163.124
topA,2598,97.857,89.2566,211.048,181.793
cysB,975,66.5311,59.3546,89.6698,138.871
ymiA,141,30.212,39.6491,8.3215,9.7378
yciX,168,85.4477,89.6556,27.2243,34.4591
ymiC,96,26.2029,27.0298,10.886,6.57939
acnA,2676,49.3473,34.2039,60.9896,40.2004
ribA,591,78.6483,62.0198,124.009,129.679
pgpB,765,24.7486,25.293,19.8901,24.8907
lapA,309,89.1444,91.1357,69.6664,84.4072
lapB,1170,48.9128,50.4841,27.7609,33.7222
pyrF,738,121.473,105.316,227.703,154.908
yciH,327,38.7452,35.6486,62.0107,40.9415
osmB,219,134.222,115.581,69.2536,64.3035
yciT,750,28.1746,25.7614,88.1461,116.954
yciZ,174,58.3732,46.7867,118.093,174.138
ymiD,129,1.12078,2.33529,1.74057,1.84096
pdeR,1986,60.1204,53.9894,5.26366,6.07581
ymiB,105,3.51272,2.77725,1.66029,3.76298
rnb,1935,78.4618,70.2327,378.643,271.906
yciW,1128,40.6089,33.2865,40.8634,89.7146
fabI,789,323.986,258.626,1087.52,931.281
ycjD,354,12.0848,12.4389,8.9943,10.5618
sapF,807,12.4423,9.9397,34.2274,33.8978
sapD,993,15.1956,12.0872,45.275,48.3145
sapC,891,7.53191,6.55938,16.3476,20.3313
sapB,966,9.32504,8.49563,20.0976,22.6868
sapA,1644,19.1218,17.264,38.8357,40.1704
ymjA,246,26.8726,27.2637,26.363,23.7926
puuP,1386,5.5442,5.41233,4.87605,2.85664
ymjE,165,12.6782,12.414,14.2368,3.04363
puuA,1419,16.7591,16.9416,35.1096,7.56552
puuD,765,29.7152,40.9179,23.5661,7.70673
puuR,558,27.8023,28.8332,28.3348,15.27
puuC,1488,6.28427,6.42553,8.05408,3.58961
puuB,1281,4.11672,3.76022,7.5307,3.00764
puuE,1266,3.69269,4.09518,5.3974,2.81238
pspF,978,9.12806,6.68124,10.5291,15.4552
pspA,669,57.2417,54.319,30.1323,31.8307
pspB,225,18.6962,19.5797,7.67596,9.17766
pspC,360,40.8539,41.7424,17.0628,21.8037
pspD,222,21.9242,22.7309,7.32826,8.7049
pspE,315,25.6669,26.4635,12.9686,22.4683
ycjM,1680,0.269657,0.339308,0.254257,0.332198
ycjN,1293,0.325283,0.284378,0.136005,0.26715
ycjO,882,0.385018,0.625116,0.170837,0.602303
ycjP,843,0.594622,0.828403,1.10218,0.787669
ycjQ,1053,1.52061,1.35289,2.7193,3.20412
ycjR,789,1.45497,1.77006,2.67328,3.29872
ycjS,1056,2.40462,2.09755,2.94943,4.62902
ycjT,2268,1.54827,1.61774,1.4737,1.72278
ycjU,660,0.808229,0.612381,0.646606,1.16666
ompG,906,1.12449,1.73444,0.194036,0.0586366
ycjW,999,10.5391,9.24563,11.012,9.89211
ycjX,1398,15.0087,12.6257,10.6928,17.0879
ycjF,1062,13.9351,10.9478,9.79172,13.6085
tyrR,1542,32.8293,28.9165,53.1183,73.0884
tpx,507,1417.63,848.286,2323.32,2009.82
ycjG,966,26.9706,26.5905,16.7697,26.1792
mpaA,729,64.0466,50.787,35.9903,43.9309
ymjC,183,7.12671,6.84973,4.78236,7.9486
ymjD,66,0,0,0,0
ycjY,921,5.07445,4.51999,2.89046,3.77821
pgrR,900,12.8291,12.6712,7.03182,10.1527
mppA,1614,17.4621,15.4485,19.7396,22.3271
ynaI,1032,55.886,34.9907,14.7491,15.0849
insH4,981,177.589,179.409,106.721,133.379
ynaJ,258,129.2,143.642,116.486,91.8902
uspE,951,154.629,107.555,110.76,246.057
fnr,753,422.977,346.914,597.429,406.423
ogt,516,20.0719,17.3672,19.6464,23.4027
abgT,1527,1.6846,1.62559,1.74411,2.12316
abgB,1446,4.45283,3.5794,4.41324,5.32936
abgA,1311,1.56708,1.36031,3.83255,3.89147
abgR,909,2.41947,2.19376,5.49799,7.13008
mcaS,94,0.681645,1.45257,0,0.559825
smrA,564,38.997,36.5869,24.2071,24.3796
dgcM,1233,14.5754,10.974,6.56044,7.06813
ynaN,48,1.32156,2.06522,0.513093,3.79881
zntB,984,35.2379,28.4768,29.9146,41.8448
fnrS,122,9.47653,13.6873,7.97171,27.0241
ynaL,174,28.6778,15.6131,11.0623,8.35739
dbpA,1374,14.9646,13.1939,21.4115,17.2894
ttcA,936,49.2929,44.2112,129.491,105.26
intR,1236,7.44671,6.47767,15.528,16.3592
xisR,216,0.895248,1.78057,0.926878,0.735254
rcbA,210,1.22761,0.479602,2.62112e-5,0.504108
ralA,179,0,0,0.139645,0
ralR,195,0.165195,0.140811,0,0
recT,810,3.79275,3.6186,2.26305,4.13139
recE,2601,3.23533,2.92394,1.93248,2.66735
racC,276,2.74688,3.28795,0.998401,0.767991
ydaE,171,1.22359,1.33716,0.292344,0.463809
kilR,222,0.943758,1.73267,0.225485,0
sieB,489,4.79064,4.56227,1.43666,1.57379
ydaF,156,1.13427,1.5821,0.480412,1.52436
ydaG,135,9.28491,8.04968,3.88215,2.93291
racR,477,69.9043,58.0077,101.197,100.136
ydaS,297,3.85713,2.96364,3.96528,3.74782
ydaT,423,4.08545,3.51495,2.66833,2.88495
ydaU,858,2.52542,2.0991,1.43415,2.32174
ydaV,747,1.1038,1.26679,0.739457,0.746558
ydaW,561,3.94645,2.75007,2.371,3.12287
rzoR,186,1.47173,1.82769,0.268894,1.14913
trkG,1458,9.98641,10.1013,7.40978,8.78492
ynaK,264,8.18617,6.70011,3.13083,2.50865
ydaY,360,6.54738,7.00803,3.20363,2.57814
ynaA,1029,4.24374,4.41225,1.07401,1.75557
insH5,981,12.4922,10.1167,8.41365,8.59828
stfR,3363,4.8267,4.62068,1.31537,1.44658
tfaR,576,3.81249,3.68757,0.928295,1.26408
pinR,591,6.23018,5.56972,2.64575,3.18854
ynaE,234,5.18162,5.28172,3.23874,2.29707
ynaM,114,27.0386,25.9678,13.9873,17.3832
uspF,435,32.7866,24.5605,53.3393,134.361
ompN,1134,2.99534,3.24216,1.52843,1.12459
micC,111,0.433636,0.492837,0.673434,1.18713
ydbK,3525,45.491,32.6423,53.5417,66.977
ydbJ,267,142.621,95.223,65.6682,85.2323
hslJ,423,63.0763,60.4485,56.3906,51.8036
ldhA,990,38.4715,25.8908,27.8561,44.2211
ydbH,2640,7.60108,7.49277,8.4535,10.2802
ynbE,186,7.18553,5.11637,8.20126,4.83485
ydbL,327,14.9058,12.2007,11.0378,12.2419
feaR,906,4.12313,3.55002,5.73793,2.58001
feaB,1500,17.3647,17.2899,6.43195,5.63368
tynA,2274,4.98837,5.39038,2.02238,2.03383
paaZ,2046,1.24957,1.1595,0.503568,0.571585
paaA,930,1.02595,1.09684,1.24222,0.828313
paaB,288,0.44814,0.541155,0,0.276038
paaC,747,0.952299,0.996217,0.806681,0.88876
paaD,498,1.49238,1.84361,1.5619,1.91844
paaE,1071,1.41956,1.14137,0.773947,0.91781
paaF,768,1.43154,1.22024,1.34045,1.65982
paaG,789,0.942655,1.19945,0.731969,1.58204
paaH,1428,0.940303,1.33263,0.844503,1.54451
paaI,423,1.83273,1.36693,1.83818,2.19507
paaJ,1206,5.4053,4.86277,4.08264,3.92156
paaK,1314,6.75878,6.29633,6.07986,4.61057
paaX,951,13.7743,12.3113,12.201,16.8433
paaY,591,4.56685,4.95723,4.11948,6.37841
ynbG,66,0,0,0,0
insD2,906,14.8444,15.3784,9.78035,19.3647
insC2,366,18.6226,16.0471,19.467,25.215
insI2,1152,8.06612,7.83575,10.4696,13.6496
pdxI,861,12.4329,8.26046,6.7083,11.5992
ydbD,2307,1.60628,1.63026,0.33769,0.518469
ynbA,606,1.20018,0.682015,0.289936,0.306659
ynbB,897,0.847312,0.922012,0,0.148061
ynbC,1758,3.21204,3.61918,1.0291,1.5571
ynbD,1293,3.39045,3.24191,2.19551,3.47295
azoR,606,30.0045,21.3547,54.9635,62.3831
hrpA,3903,19.747,17.5886,44.6546,49.1919
ydcF,801,43.3996,32.9328,52.7283,56.1343
aldA,1440,9.1225,8.22285,71.7258,34.822
cybB,531,140.498,106.487,80.8594,109.316
rydC,65,189.608,139.667,138.659,176.069
ydcA,174,19.7969,18.557,10.775,18.9941
yncP,69,0.231272,0.39427,0.359165,0.759763
hokB,150,0.108475,0.490667,0,0.704416
mokB,168,9.09924,8.65235,9.07476,10.857
sokB,56,13.9169,15.8169,4.4108,5.13173
trg,1641,10.2044,9.61423,44.1738,50.7542
ydcI,924,72.9646,69.1216,61.889,22.567
ydcJ,1344,6.66821,6.16957,2.24311,2.19456
opgD,1656,33.8437,27.8099,54.046,56.9226
ydcH,225,3.51002,4.07063,4.89482,7.05974
rimL,540,15.8001,12.8897,18.7284,19.3662
ydcK,981,5.19303,4.22509,2.86747,3.92647
tehA,993,14.2021,11.4301,13.1525,16.9341
tehB,594,26.1474,20.2856,41.9167,47.0606
ydcL,669,79.2298,50.1449,33.0968,35.1248
insQ,1149,27.9438,26.4229,19.676,22.4295
ydcO,1176,3.54867,3.86119,3.18275,4.81226
sutR,537,11.9161,11.3371,15.0475,15.7672
rlhA,1962,30.9019,32.8384,55.1244,52.9802
yncJ,231,28.0518,25.5766,8.34439,10.2011
hicA,177,28.1945,24.2395,24.4353,27.0399
hicB,417,22.6182,16.4845,17.563,19.5303
ydcR,1407,15.6027,12.7344,16.017,14.9012
ydcS,1146,4.67183,4.57976,2.08234,2.55021
ydcT,1014,2.44032,2.60128,1.21373,1.46713
ydcU,942,4.29191,3.65839,2.55948,4.06066
ydcV,795,3.13206,2.36925,1.26339,1.5033
patD,1425,14.4862,11.4641,5.97685,6.76913
yncL,96,165.562,144.254,56.2445,93.208
ortT,174,40.704,50.2563,17.6709,7.14177
ydcY,234,122.486,95.1281,160.478,216.807
ydcZ,450,14.6455,15.7271,10.3688,14.3866
mnaT,519,8.96626,9.94268,13.5378,24.8019
curA,1038,16.8591,11.7408,6.43662,11.5171
mcbR,666,12.961,11.8202,1.20619,2.07312
yncD,2103,10.6106,9.9036,25.739,17.2517
yncE,1062,85.6818,76.9117,1034.54,1163.71
ansP,1500,11.0659,11.6145,17.5539,17.4325
yncG,618,5.93687,4.78559,1.21849,1.63245
yncH,213,0.529549,0.472878,0.352452,0.372781
ydcD,483,1.67243,2.0148,1.09085,1.3186
yncO,186,2.07774,1.1807,0.806681,1.84862
ydcC,1137,0.965537,0.934703,0.316791,0.925325
pptA,234,22.3891,17.4597,25.5695,34.5126
yddH,570,4.22447,3.86675,2.20154,3.07365
nhoA,846,18.1769,16.9764,7.15362,8.82204
yddE,894,25.7759,25.1833,26.6023,30.8701
narV,681,6.26674,5.66546,2.50678,2.61238
narW,696,4.87763,4.01246,1.55106,2.1364899999999998
narY,1545,7.62332,4.4213,2.81338,3.02726
narZ,3741,7.64893,4.7547,1.95516,2.65064
narU,1389,6.65033,4.65276,0.940547,1.12871
yddK,957,0.0844941,0.0384118,0,0.0832725
yddL,291,0.110884,0.0945168,0,0.0910674
yddG,882,7.33367,7.07424,11.6454,17.9788
fdnG,3048,3.30811,3.22259,4.96399,41.1391
fdnH,885,4.98828,6.12617,3.43355,31.0637
fdnI,654,6.22847,6.81194,2.99396,17.4165
yddM,285,63.0581,64.2688,30.5918,37.6561
adhP,1011,43.1602,39.1075,16.024,17.2899
maeA,1698,555.126,413.247,197.921,167.141
sra,138,834.96,579.047,255.214,323.883
bdm,216,23.2765,19.0352,33.7152,26.2241
osmC,432,312.453,189.644,74.5537,86.8375
ddpF,927,8.16432,7.82167,5.31007,4.92863
ddpD,987,2.32677,2.35578,4.88581,2.90678
ddpC,897,2.57799,2.41772,3.55565,1.77673
ddpB,1023,1.40706,1.61712,4.8368,1.06471
ddpA,1551,2.35743,2.25249,17.9976,2.72428
ddpX,582,2.99901,2.19339,30.0146,3.37527
dosP,2400,15.0496,11.399,5.04716,5.69268
dosC,1383,20.0024,14.0055,4.65046,6.59028
yddY,42,51.9556,28.8826,6.43156,8.65776
digH,1320,22.2921,17.9605,21.1638,20.5326
gadC,1536,61.9651,28.6404,16.423,23.9446
gadB,1401,91.6946,39.8899,27.3781,41.8554
pqqL,2796,4.5378,4.71,15.0921,17.7119
yddB,2373,3.06188,3.042,7.28618,12.8142
yddA,1686,0.959637,1.22153,3.50223,7.61339
yneP,123,3.52504,2.89343,0.00972236,0.428898
ydeM,1158,0.949834,0.857256,0.194192,0.757141
ydeN,1683,3.34549,3.4362,2.04536,3.86874
ydeO,762,1.90959,1.31423,2.57017,2.47446
safA,198,0.732169,0.462293,1.01072,0.80176
ydeP,2280,7.50901,6.59421,5.59926,7.2279
ydeQ,915,5.31977,6.42769,0.603836,0.783816
ydeR,504,7.4053,10.657,0.746779,0.526568
ydeS,531,15.4283,19.0391,0.283551,0.399875
ydeT,1149,45.2872,55.7738,0.655867,0.369971
hipA,1323,7.97226,6.04507,6.19044,10.1225
hipB,267,11.2961,10.3324,11.7265,14.2881
lsrK,1593,7.19063,6.30238,3.12298,5.78878
lsrR,954,8.81499,7.63907,6.55523,9.68996
lsrA,1536,1.49567,1.2749,0.99781,1.26298
lsrC,1029,6.30274,5.37687,1.61101,1.78139
lsrD,993,3.76225,4.52577,0.935853,1.57838
lsrB,1023,4.69546,3.97093,1.66956,2.41507
lsrF,876,5.81478,4.46869,2.03541,3.39597
lsrG,291,8.48263,4.88337,3.35795,5.82832
tam,759,31.2705,22.3696,10.2882,10.3218
yneE,915,41.5508,36.5575,25.2239,20.9598
uxaB,1452,3.26456,3.44432,2.1802,5.69168
dgcF,948,12.112,14.8512,8.92803,10.3957
yneG,360,49.6884,54.7136,46.4527,45.228
glsB,927,24.8767,25.3981,30.3433,31.0905
sad,1389,8.81664,7.98846,11.6302,18.9968
yneJ,882,6.69197,6.62623,6.83349,8.91409
yneK,1116,1.07251,1.20246,0.337622,0.476127
ydeA,1191,41.9531,35.5251,25.2048,24.227
marC,666,17.5725,17.7786,7.80255,12.7178
marR,435,17.5258,26.3751,5.9394,7.25782
marA,384,31.7474,35.9622,16.9134,15.8859
marB,219,29.729,30.2751,16.5706,20.1855
eamA,900,22.945,23.4432,15.7658,13.8714
ydeE,1188,13.9016,12.782,11.4818,12.2559
mgtS,96,29641.9,23419.3,134.779,152.697
mgtT,105,18.1739,10.3611,3.0834,3.76298
mgrR,98,27.3095,16.691,2.79351,4.56625
dgcZ,891,99.9294,108.57,5.24252,7.33358
ydeI,393,10.601,8.91944,2.48863,1.82227
ydeJ,519,8.84173,7.43047,6.62383,5.72744
dcp,2046,25.0152,17.2937,70.7083,76.6573
ydfG,747,70.1454,49.7862,112.566,139.002
ydfH,687,50.0967,48.4986,71.7338,77.8812
ydfZ,204,14.7676,14.9887,80.5756,269.419
ydfI,1461,3.95315,3.4357,2.80306,5.43838
ydfJ,1284,3.08663,3.4436,0.547832,0.889839
ynfT,114,14.9122,16.5905,9.40526,15.4517
ydfK,234,3.15403,2.86093,0.71972,0.98445800000000006
pinQ,591,5.44674,4.73324,2.3231,2.022
tfaQ,576,0.816971,1.46231,0.466037,0.948057
stfQ,963,2.55327,2.40842,1.48659,1.57233
nohA,570,1.6062,1.68669,1.13704,1.20424
ynfO,234,1.0649,1.03062,2.99559,4.6394
ydfO,411,0.943053,0.602888,2.01377,3.1626
gnsB,174,78.9102,65.3437,109.186,124.297
ynfN,156,0.515576,1.40631,0.160137,0.169374
ynfR,66,2.41628,0.961155,0.375247,0.396891
ynfQ,189,0.59644,0.629448,0.132324,0
cspI,213,5.90069,3.78303,0.939871,0.497041
rzpQ,498,0.583975,0.866498,0.201535,0.26645
rzoQ,255,0,0,0,1.53936e-7
rrrQ,534,0.907799,0.945756,0.234968,0.596449
ydfR,312,1.70684,1.29324,1.20487,0.764617
essQ,216,0.298416,0.381552,0,0.245085
ynfU,171,8.3769,8.9322,20.7564,13.7597
cspB,216,93.4751,102.868,24.0945,40.134
cspF,213,46.4747,49.8887,19.011,20.9672
ynfS,90,130.224,121.819,35.0877,51.1379
ydfT,753,10.4993,10.5174,1.90062,2.99774
ydfU,1050,5.93035,6.14476,1.07647,1.23976
rem,252,18.0447,21.7809,3.57745,6.09612
hokD,156,263.15,311.147,30.2659,39.1254
relE,288,217.236,265.261,24.4456,39.1974
relB,240,303.898,348.441,54.3517,66.9758
ydfV,306,24.3627,29.9962,15.5599,21.7411
flxA,333,9.11241,9.9984,35.3788,38.6933
ydfW,150,3.32358,4.26473,8.32502,7.57247
ydfX,291,2.38401,1.79582,1.98033,3.82483
dicC,231,0.348902,0.475843,0.541844,0.802336
dicA,408,72.4352,63.1603,65.8967,73.1434
ydfA,156,3.71214,5.68385,3.84329,3.38748
ydfB,129,3.36235,3.18449,0.773586,1.63641
ydfC,219,16.9985,18.5247,6.51395,7.97751
dicF,53,2.39838,5.622,0,4.43195
dicB,189,1.36329,1.0168,1.05859,0.699781
ydfD,192,2.51644,1.52533,1.1724,1.24003
ynfP,111,1.15636,1.14995,0,0
rspB,1020,3.42492,3.29781,0.566362,1.32828
rspA,1215,3.46148,3.04133,1.71608,2.14308
ynfA,327,18.5089,18.0907,9.96464,12.9716
ynfB,342,1355.63,928.385,152.535,166.45
speG,561,739.858,527.489,99.6268,112.187
ynfC,711,41.1548,36.9148,8.36875,10.7188
ynfD,306,56.3717,39.076,30.8742,50.6715
ynfE,2427,7.48778,6.55872,6.18184,47.3021
ynfF,2424,3.97884,3.80125,4.63434,38.8074
ynfG,618,5.36149,4.1168,5.03643,37.4174
ynfH,855,11.0071,12.2518,11.8071,32.6494
dmsD,615,23.2849,21.3563,43.2222,60.5652
clcB,1257,5.71379,6.41342,3.43748,5.03086
ynfK,696,12.6818,11.2983,47.9385,163.022
mlc,1221,20.0707,18.0454,36.2927,54.4238
ynfL,894,5.98724,6.67102,4.60694,8.02207
ynfM,1254,34.9194,31.4547,41.749,40.2795
asr,309,754.568,419.889,11.192,12.3523
ydgU,84,49.71,34.3092,1.7747,1.56422
ydgD,822,33.1256,30.8406,15.1521,22.8113
mdtI,330,7.38535,8.56038,3.11421,3.77586
mdtJ,366,12.219,17.2211,6.23401,8.54992
ydgV,102,139.415,176.49,34.173,48.7945
tqsA,1035,52.4582,44.7283,4.78078,7.36662
pntB,1389,71.2436,61.8295,198.003,267.696
pntA,1533,73.1041,58.1844,224.373,266.68
ydgH,945,75.0584,59.2725,121.642,126.1
ydgI,1383,12.481,16.4982,21.69,18.887
folM,723,14.1095,12.2238,23.1622,20.4212
ydgC,336,5.86073,6.60626,24.5447,18.6221
rstA,720,573.062,493.284,53.8399,46.3603
rstB,1302,166.028,154.615,22.1315,19.1836
tus,930,23.2142,19.2589,20.5507,22.5644
fumC,1404,58.465,43.032,40.1012,22.4846
fumA,1647,30.4527,25.0143,83.0526,38.9517
manA,1176,55.3069,35.4385,124.704,165.741
ydgA,1509,208.078,145.519,114.652,128.133
uidC,1266,1.17553,1.41589,0.0992169,0.461734
uidB,1374,1.07142,1.32475,0.694821,1.10235
uidA,1812,1.43764,1.54257,0.998451,1.27605
uidR,591,24.9946,24.724,26.2882,30.7242
hdhA,768,76.7771,50.6757,26.8089,53.1834
malI,1029,5.35968,5.32328,3.58816,5.42161
malX,1593,18.4539,19.3573,5.83587,7.85739
malY,1173,16.8234,13.6897,16.8753,21.6312
add,1002,58.881100000000004,46.1908,26.9714,49.8959
ydgJ,1041,147.675,104.966,91.8077,89.2429
blr,126,90.6333,84.1006,33.0602,51.2989
cnu,216,37.1528,31.5416,19.6961,22.1802
ydgK,441,100.028,93.4116,47.8941,60.824
